	alpha	avg_perc_to_deadline	avg_perc_to_deadline_last_10	eps_iters	epsilon	gamma	last_10_successes	scores	scores_last_10	successes
206	1.0	1.19061167079	1.31655952381	57.3	0.4	0.8	8.05	2446.45	282.65	74.5
207	1.0	1.17126330804	0.626845238095	79.35	0.6	0.8	9.05	2407.95	273.725	75.85
208	1.0	1.16326022666	0.5625	98.9	0.8	0.8	9.5	2449.175	273.0	76.2
209	1.0	1.26245305635	1.06944444444	101.0	1.0	0.8	8.0	2416.05	283.525	72.45
210	1.0	3.0	3.0	101.0	0.0	1.0	0.0	0.0	0.0	0.0
211	1.0	3.0	3.0	101.0	0.2	1.0	0.0	0.0	0.0	0.0
212	1.0	3.0	3.0	101.0	0.4	1.0	0.0	0.0	0.0	0.0
213	1.0	3.0	3.0	101.0	0.6	1.0	0.0	0.0	0.0	0.0
214	1.0	3.0	3.0	101.0	0.8	1.0	0.0	0.0	0.0	0.0
215	1.0	3.0	3.0	101.0	1.0	1.0	0.0	0.0	0.0	0.0
